"Time.of.Day","Highway.Classifications","Distracted.Driving.Opinion","Type.of.Roadway.Junction.Feature","Manner.of.Crash","Crash.Severity","At.Intersection","Functional.Class","Lighting.Conditions","Weather","Number.of.Vehicles","Causal.Unit..CU..Type","CU.Vehicle.Maneuvers","CU.Roadway.Condition","CU.Roadway.Curvature.and.Grade","CU.Vision.Obscured.By","CU.Trafficway.Lanes","CU.Turn.Lanes","CU.Workzone.Related","CU.Driver.Age"
"Morning_Peak","Major_Road","Not_Distracted","Standard_Intersection","Side-Impact","Minor_Injury","Yes - Crash Occurred at an Intersection","Arterial","Daylight","Clear_Weather","Multi_Vehicle","Passenger_Vehicle","Straight","Dry","Straight_Level","Not_Obscured","Lanes_5_or_More","Both_Turn_Lanes","Not_Workzone_Related","Less_than_25"
"Morning_Peak","Major_Road","Internal_Distraction","No_Junction","Side-Impact","Minor_Injury","Yes - Crash Occurred at an Intersection","Arterial","Daylight","Cloudy_Weather","Two_Vehicles","Light_Truck/SUV","Straight","Dry","Straight_Level","Not_Obscured","Lanes_1_2","Both_Turn_Lanes","Not_Workzone_Related","25-54"
"Midday","Local_Road","Not_Distracted","No_Junction","Side-Impact","Property_Damage_Only","Yes - Crash Occurred at an Intersection","Arterial","Daylight","Cloudy_Weather","Two_Vehicles","Passenger_Vehicle","Straight","Dry","Straight_Level","Not_Obscured","Lanes_1_2","Both_Turn_Lanes","Not_Workzone_Related","25-54"
"Midday","Major_Road","Internal_Distraction","Standard_Intersection","Side-Impact","Minor_Injury","Yes - Crash Occurred at an Intersection","Arterial","Daylight","Clear_Weather","Two_Vehicles","Light_Truck/SUV","Straight","Dry","Straight_Grade","Not_Obscured","Lanes_3_4","Both_Turn_Lanes","Not_Workzone_Related","25-54"
"Evening_Peak","Major_Road","Not_Distracted","No_Junction","Side-Impact","Property_Damage_Only","Yes - Crash Occurred at an Intersection","Arterial","Dark_Lighted","Precipitation/Adverse","Multi_Vehicle","Passenger_Vehicle","Left_Turn","Wet","Straight_Level","Not_Obscured","Lanes_3_4","Left_Only","Not_Workzone_Related","65-74"
"Midday","Major_Road","Internal_Distraction","No_Junction","Side-Impact","Property_Damage_Only","Yes - Crash Occurred at an Intersection","Arterial","Daylight","Clear_Weather","Two_Vehicles","Light_Truck/SUV","Straight","Dry","Straight_Grade","Not_Obscured","Lanes_3_4","Both_Turn_Lanes","Not_Workzone_Related","25-54"
"Evening_Peak","Local_Road","Not_Distracted","Standard_Intersection","Side-Impact","Property_Damage_Only","Yes - Crash Occurred at an Intersection","Arterial","Daylight","Precipitation/Adverse","Two_Vehicles","Light_Truck/SUV","Straight","Wet","Straight_Level","Not_Obscured","Lanes_3_4","No_Turn_Lanes","Not_Workzone_Related","Less_than_25"
"Midday","Minor_Road","Not_Distracted","Standard_Intersection","Side-Impact","Property_Damage_Only","Yes - Crash Occurred at an Intersection","Local","Daylight","Precipitation/Adverse","Two_Vehicles","Passenger_Vehicle","Straight","Wet","Straight_Level","Not_Obscured","Lanes_1_2","No_Turn_Lanes","Not_Workzone_Related","25-54"
"Midday","Major_Road","Not_Distracted","Standard_Intersection","Side-Impact","Property_Damage_Only","Yes - Crash Occurred at an Intersection","Arterial","Daylight","Precipitation/Adverse","Two_Vehicles","Light_Truck/SUV","Left_Turn","Wet","Straight_Level","Not_Obscured","Lanes_3_4","Both_Turn_Lanes","Not_Workzone_Related","55-64"
"Morning_Peak","Major_Road","Not_Distracted","Standard_Intersection","Side-Impact","Severe_Injury","Yes - Crash Occurred at an Intersection","Arterial","Daylight","Precipitation/Adverse","Two_Vehicles","Passenger_Vehicle","Straight","Wet","Straight_Grade","Not_Obscured","Lanes_3_4","No_Turn_Lanes","Not_Workzone_Related","55-64"
"Midday","Local_Road","Not_Distracted","No_Junction","Side-Impact","Property_Damage_Only","Yes - Crash Occurred at an Intersection","Collector","Twilight","Precipitation/Adverse","Two_Vehicles","Light_Truck/SUV","Straight","Wet","Straight_Level","Not_Obscured","Lanes_3_4","No_Turn_Lanes","Not_Workzone_Related","55-64"
"Evening_Peak","Major_Road","Not_Distracted","No_Junction","Side-Impact","Property_Damage_Only","Yes - Crash Occurred at an Intersection","Arterial","Dark_Lighted","Cloudy_Weather","Two_Vehicles","Passenger_Vehicle","Straight","Dry","Straight_Level","Not_Obscured","Lanes_3_4","Both_Turn_Lanes","Workzone_Related","55-64"
"Morning_Peak","Major_Road","External_Distraction","Standard_Intersection","Side-Impact","Minor_Injury","Yes - Crash Occurred at an Intersection","Arterial","Daylight","Clear_Weather","Two_Vehicles","Light_Truck/SUV","Straight","Dry","Straight_Level","Not_Obscured","Lanes_3_4","Both_Turn_Lanes","Not_Workzone_Related","25-54"
"Morning_Peak","Major_Road","Not_Distracted","Standard_Intersection","Side-Impact","Property_Damage_Only","Yes - Crash Occurred at an Intersection","Arterial","Daylight","Clear_Weather","Two_Vehicles","Passenger_Vehicle","Straight","Dry","Straight_Grade","Not_Obscured","Lanes_1_2","Right_Only","Not_Workzone_Related","55-64"
"Morning_Peak","Local_Road","Not_Distracted","Standard_Intersection","Side-Impact","Property_Damage_Only","Yes - Crash Occurred at an Intersection","Arterial","Daylight","Clear_Weather","Two_Vehicles","Passenger_Vehicle","Straight","Dry","Straight_Level","Not_Obscured","Lanes_3_4","Left_Only","Not_Workzone_Related","Less_than_25"
"Midday","Major_Road","Internal_Distraction","Standard_Intersection","Side-Impact","Severe_Injury","Yes - Crash Occurred at an Intersection","Arterial","Daylight","Clear_Weather","Two_Vehicles","Light_Truck/SUV","Stopping","Dry","Straight_Level","Not_Obscured","Lanes_3_4","Both_Turn_Lanes","Not_Workzone_Related","65-74"
