SURFACE_TEMP,BASE_TEMP,Modulus_L2,Modulus_L3,Modulus_L5,PEAK_DEFL_1,PEAK_DEFL_2,PEAK_DEFL_3,PEAK_DEFL_4,PEAK_DEFL_5,PEAK_DEFL_6,PEAK_DEFL_7,THICKNESS_LAYER1,THICKNESS_LAYER2,THICKNESS_LAYER3
74.69999695,72.90000153,629,1640,500,72,46,41,39,37,33,27,9.3,14.6,8
74.69999695,72.90000153,629,1640,500,72,46,41,39,37,33,27,9.3,14.6,8
74.69999695,72.90000153,629,1640,500,72,46,41,39,37,33,27,9.3,14.6,8
74.69999695,72.90000153,1353,640,500,71,45,40,38,37,33,27,9.3,14.6,8
74.69999695,72.90000153,2842,10,500,87,50,45,44,43,37,29,9.3,14.6,8
74.69999695,72.90000153,2480,10,500,87,50,45,44,42,37,28,9.3,14.6,8
74.69999695,72.90000153,2927,10,500,88,52,47,46,45,39,31,9.3,14.6,8
74.69999695,72.90000153,4058,10,500,119,51,43,41,38,36,28,9.3,14.6,8
74.69999695,72.90000153,4310,12,500,114,50,43,39,38,35,28,9.3,14.6,8
74.69999695,72.90000153,327,384,500,105,65,55,51,46,39,30,9.3,14.6,8
74.69999695,72.90000153,412,241,500,105,64,54,51,46,38,29,9.3,14.6,8
74.69999695,72.90000153,412,241,500,103,64,54,50,45,39,29,9.3,14.6,8
74.69999695,72.90000153,325,509,500,104,65,56,51,46,41,31,9.3,14.6,8
74.69999695,72.90000153,464,421,500,74,58,48,47,44,38,30,9.3,14.6,8
74.69999695,72.90000153,545,320,500,74,56,48,46,44,38,29,9.3,14.6,8
74.69999695,72.90000153,724,317,500,74,56,47,46,44,38,30,9.3,14.6,8
74.69999695,72.90000153,750,319,500,75,56,47,46,44,38,30,9.3,14.6,8
74.69999695,72.90000153,480,69,500,103,68,59,54,51,41,30,9.3,14.6,8
74.69999695,72.90000153,499,85,500,103,68,59,53,51,41,31,9.3,14.6,8
74.69999695,72.90000153,499,85,500,103,68,59,53,51,41,31,9.3,14.6,8
74.69999695,72.90000153,331,146,500,102,67,58,53,49,39,29,9.3,14.6,8
74.69999695,72.90000153,360,896,500,73,55,48,45,42,37,30,9.3,14.6,8
74.69999695,72.90000153,510,504,500,74,56,49,46,44,39,31,9.3,14.6,8
74.69999695,72.90000153,534,502,500,73,55,48,45,43,38,30,9.3,14.6,8
74.69999695,72.90000153,534,502,500,73,56,49,45,43,38,30,9.3,14.6,8
79.5,74.09999847,240,1376,500,163,76,56,50,48,43,32,9.3,14.6,8
79.5,74.09999847,268,1297,500,162,76,56,51,49,43,33,9.3,14.6,8
79.5,74.09999847,265,1151,500,161,76,56,50,48,43,32,9.3,14.6,8
79.5,74.09999847,265,1151,500,159,75,56,50,48,42,32,9.3,14.6,8
79.5,74.09999847,244,2354,500,128,71,54,48,46,42,32,9.3,14.6,8
79.5,74.09999847,249,3000,500,127,71,54,48,46,42,33,9.3,14.6,8
79.5,74.09999847,244,3000,500,126,70,53,47,45,41,32,9.3,14.6,8
79.5,74.09999847,275,3000,500,126,70,53,47,46,42,33,9.3,14.6,8
79.5,74.09999847,813,72,500,166,78,63,60,57,48,35,9.3,14.6,8
79.5,74.09999847,1159,10,500,163,78,62,61,58,48,35,9.3,14.6,8
79.5,74.09999847,1094,10,500,162,77,62,60,57,47,34,9.3,14.6,8
79.5,74.09999847,1211,10,500,161,77,62,60,57,48,35,9.3,14.6,8
74.69999695,72.90000153,1377,538,500,101,64,58,57,54,47,38,9.3,14.6,8
74.69999695,72.90000153,1377,538,500,101,65,59,57,55,48,38,9.3,14.6,8
74.69999695,72.90000153,1382,478,500,101,66,60,58,55,49,39,9.3,14.6,8
74.69999695,72.90000153,1382,478,500,101,66,60,58,55,49,39,9.3,14.6,8
74.69999695,72.90000153,2743,10,500,121,69,63,62,60,53,40,9.3,14.6,8
74.69999695,72.90000153,2642,10,500,120,69,63,62,60,51,40,9.3,14.6,8
74.69999695,72.90000153,3499,10,500,154,71,60,58,55,49,39,9.3,14.6,8
74.69999695,72.90000153,3499,10,500,155,71,60,57,55,49,39,9.3,14.6,8
74.69999695,72.90000153,3499,10,500,154,71,60,58,55,50,39,9.3,14.6,8
74.69999695,72.90000153,3499,10,500,153,71,60,58,55,50,39,9.3,14.6,8
74.69999695,72.90000153,427,221,500,143,91,78,74,67,56,43,9.3,14.6,8
74.69999695,72.90000153,427,221,500,147,93,80,75,68,57,44,9.3,14.6,8
74.69999695,72.90000153,427,221,500,145,93,79,75,68,57,44,9.3,14.6,8
74.69999695,72.90000153,427,221,500,144,93,80,74,67,58,44,9.3,14.6,8
74.69999695,72.90000153,1029,156,500,106,80,67,66,64,55,43,9.3,14.6,8
74.69999695,72.90000153,875,252,500,107,80,67,66,63,55,43,9.3,14.6,8
74.69999695,72.90000153,1242,18,500,107,80,67,66,63,55,41,9.3,14.6,8
74.69999695,72.90000153,1078,157,500,107,80,67,66,64,55,43,9.3,14.6,8
74.69999695,72.90000153,438,65,500,143,96,83,76,70,58,41,9.3,14.6,8
74.69999695,72.90000153,391,102,500,145,98,86,78,71,59,44,9.3,14.6,8
74.69999695,72.90000153,391,102,500,145,98,85,78,70,59,43,9.3,14.6,8
74.69999695,72.90000153,391,102,500,145,97,84,77,70,58,43,9.3,14.6,8
74.69999695,72.90000153,664,376,500,107,77,67,63,59,54,41,9.3,14.6,8
74.69999695,72.90000153,569,708,500,109,79,68,64,62,55,44,9.3,14.6,8
74.69999695,72.90000153,569,708,500,108,79,69,65,62,55,44,9.3,14.6,8
74.69999695,72.90000153,569,708,500,108,79,68,64,62,55,43,9.3,14.6,8
79.5,74.09999847,322,792,500,213,105,79,72,68,61,46,9.3,14.6,8
79.5,74.09999847,299,824,500,213,104,78,70,66,59,44,9.3,14.6,8
79.5,74.09999847,304,1172,500,214,105,79,72,68,61,47,9.3,14.6,8
79.5,74.09999847,304,1172,500,214,107,80,73,68,61,47,9.3,14.6,8
79.5,74.09999847,287,3000,500,173,98,75,67,66,59,48,9.3,14.6,8
79.5,74.09999847,235,2634,500,175,99,77,68,66,59,46,9.3,14.6,8
79.5,74.09999847,252,2070,500,175,100,77,69,66,60,46,9.3,14.6,8
79.5,74.09999847,237,3000,500,174,99,76,68,65,59,46,9.3,14.6,8
79.5,74.09999847,995,87,500,225,112,93,88,81,71,53,9.3,14.6,8
79.5,74.09999847,1175,38,500,224,110,89,85,81,68,51,9.3,14.6,8
79.5,74.09999847,1232,10,500,225,111,90,86,82,68,51,9.3,14.6,8
79.5,74.09999847,1232,10,500,225,111,90,86,81,69,51,9.3,14.6,8
74.69999695,72.90000153,1601,419,500,134,86,78,76,73,64,51,9.3,14.6,8
74.69999695,72.90000153,1601,419,500,134,87,78,76,71,64,51,9.3,14.6,8
74.69999695,72.90000153,1601,419,500,134,87,79,76,73,64,51,9.3,14.6,8
74.69999695,72.90000153,1601,419,500,134,87,79,76,73,65,51,9.3,14.6,8
74.69999695,72.90000153,2642,10,500,157,91,82,80,79,67,52,9.3,14.6,8
74.69999695,72.90000153,2642,10,500,159,93,83,81,79,69,53,9.3,14.6,8
74.69999695,72.90000153,2310,10,500,158,96,85,82,79,69,53,9.3,14.6,8
74.69999695,72.90000153,2310,10,500,158,95,85,81,78,69,53,9.3,14.6,8
74.69999695,72.90000153,3499,10,500,200,95,80,76,73,66,51,9.3,14.6,8
74.69999695,72.90000153,3499,10,500,201,95,79,76,73,66,51,9.3,14.6,8
74.69999695,72.90000153,3499,10,500,200,95,80,76,74,66,52,9.3,14.6,8
74.69999695,72.90000153,3302,10,500,200,95,80,76,74,66,51,9.3,14.6,8
74.69999695,72.90000153,427,221,500,194,121,105,99,90,76,56,9.3,14.6,8
74.69999695,72.90000153,427,221,500,195,123,106,99,90,76,56,9.3,14.6,8
74.69999695,72.90000153,427,221,500,194,123,105,98,89,76,56,9.3,14.6,8
74.69999695,72.90000153,462,170,500,193,120,104,97,88,73,55,9.3,14.6,8
74.69999695,72.90000153,980,114,500,143,107,90,89,84,73,56,9.3,14.6,8
74.69999695,72.90000153,843,168,500,143,107,90,89,84,72,56,9.3,14.6,8
74.69999695,72.90000153,1148,78,500,144,105,90,89,84,72,56,9.3,14.6,8
74.69999695,72.90000153,1200,50,500,145,107,90,89,85,73,56,9.3,14.6,8
74.69999695,72.90000153,386,96,500,192,129,112,101,94,78,56,9.3,14.6,8
74.69999695,72.90000153,386,96,500,193,129,112,104,94,78,56,9.3,14.6,8
74.69999695,72.90000153,386,96,500,193,129,113,102,94,78,56,9.3,14.6,8
74.69999695,72.90000153,386,96,500,192,130,112,102,94,78,56,9.3,14.6,8
74.69999695,72.90000153,636,369,500,139,102,90,84,80,71,55,9.3,14.6,8
74.69999695,72.90000153,636,369,500,140,104,91,85,80,72,56,9.3,14.6,8
74.69999695,72.90000153,636,369,500,138,102,89,83,79,70,54,9.3,14.6,8
74.69999695,72.90000153,636,369,500,139,103,91,85,80,72,56,9.3,14.6,8
79.5,74.09999847,370,483,500,277,137,104,94,89,79,58,9.3,14.6,8
79.5,74.09999847,370,483,500,279,137,105,95,90,80,60,9.3,14.6,8
79.5,74.09999847,321,888,500,279,139,105,95,90,81,61,9.3,14.6,8
79.5,74.09999847,321,888,500,280,139,105,96,90,81,61,9.3,14.6,8
79.5,74.09999847,283,1584,500,228,129,100,91,86,78,60,9.3,14.6,8
79.5,74.09999847,283,1584,500,228,129,101,90,87,78,60,9.3,14.6,8
79.5,74.09999847,283,1584,500,228,129,101,91,87,78,60,9.3,14.6,8
79.5,74.09999847,283,1584,500,228,129,101,91,87,79,61,9.3,14.6,8
79.5,74.09999847,1116,10,500,294,145,118,113,107,89,65,9.3,14.6,8
79.5,74.09999847,1109,10,500,297,148,122,115,108,92,67,9.3,14.6,8
79.5,74.09999847,1109,10,500,296,147,120,114,108,91,67,9.3,14.6,8
79.5,74.09999847,1109,10,500,297,148,122,115,107,92,67,9.3,14.6,8
74.69999695,72.90000153,2413,71,500,169,109,99,95,90,79,63,9.3,14.6,8
74.69999695,72.90000153,3011,10,500,171,110,100,96,92,81,64,9.3,14.6,8
74.69999695,72.90000153,3011,10,500,169,110,100,96,91,80,64,9.3,14.6,8
74.69999695,72.90000153,3011,10,500,169,110,100,96,92,80,64,9.3,14.6,8
74.69999695,72.90000153,2310,10,500,202,120,107,104,100,88,67,9.3,14.6,8
74.69999695,72.90000153,2681,10,500,203,116,106,104,102,87,67,9.3,14.6,8
74.69999695,72.90000153,2519,10,500,202,117,107,105,102,87,67,9.3,14.6,8
74.69999695,72.90000153,2521,10,500,202,118,107,104,101,87,67,9.3,14.6,8
74.69999695,72.90000153,3302,10,500,253,119,101,96,92,82,64,9.3,14.6,8
74.69999695,72.90000153,3325,10,500,254,119,101,96,92,82,64,9.3,14.6,8
74.69999695,72.90000153,3325,10,500,253,119,101,96,92,80,62,9.3,14.6,8
74.69999695,72.90000153,3325,10,500,253,120,102,97,92,82,64,9.3,14.6,8
74.69999695,72.90000153,555,105,500,251,156,135,127,115,96,71,9.3,14.6,8
74.69999695,72.90000153,669,71,500,252,152,134,127,115,94,71,9.3,14.6,8
74.69999695,72.90000153,669,71,500,253,153,135,127,114,95,71,9.3,14.6,8
74.69999695,72.90000153,669,71,500,253,153,135,126,114,95,71,9.3,14.6,8
74.69999695,72.90000153,1414,18,500,185,134,114,112,107,92,70,9.3,14.6,8
74.69999695,72.90000153,1333,19,500,186,135,114,113,107,92,70,9.3,14.6,8
74.69999695,72.90000153,1340,14,500,186,134,114,112,107,92,69,9.3,14.6,8
74.69999695,72.90000153,1442,10,500,186,134,114,113,107,92,70,9.3,14.6,8
74.69999695,72.90000153,386,96,500,249,165,144,131,121,99,71,9.3,14.6,8
74.69999695,72.90000153,386,96,500,251,165,144,131,122,100,71,9.3,14.6,8
74.69999695,72.90000153,386,96,500,251,166,145,132,122,100,71,9.3,14.6,8
74.69999695,72.90000153,386,96,500,252,166,144,131,122,100,71,9.3,14.6,8
74.69999695,72.90000153,636,369,500,177,131,115,108,102,91,70,9.3,14.6,8
74.69999695,72.90000153,636,369,500,179,132,116,109,103,92,71,9.3,14.6,8
74.69999695,72.90000153,636,369,500,179,132,116,108,103,91,70,9.3,14.6,8
74.69999695,72.90000153,557,474,500,178,131,114,107,101,90,70,9.3,14.6,8
79.5,74.09999847,388,595,500,348,174,132,120,114,101,75,9.3,14.6,8
79.5,74.09999847,388,595,500,351,176,134,122,116,103,78,9.3,14.6,8
79.5,74.09999847,388,595,500,351,175,133,121,115,103,77,9.3,14.6,8
79.5,74.09999847,388,595,500,352,176,133,122,115,102,75,9.3,14.6,8
79.5,74.09999847,358,1335,500,290,161,125,114,111,99,77,9.3,14.6,8
79.5,74.09999847,327,2245,500,291,162,125,114,111,100,79,9.3,14.6,8
79.5,74.09999847,327,2245,500,291,162,127,115,111,100,79,9.3,14.6,8
79.5,74.09999847,327,2245,500,290,162,127,114,111,100,79,9.3,14.6,8
79.5,74.09999847,1109,10,500,376,188,155,146,138,115,84,9.3,14.6,8
79.5,74.09999847,1077,10,500,379,188,153,146,141,115,84,9.3,14.6,8
79.5,74.09999847,1077,10,500,380,189,156,147,138,116,85,9.3,14.6,8
