_id,year,county_id,county_name,type,nj_data_source,killed_total,killed_per_100milvmt,killed_per_capita,si_total,si_per_100milvmt,si_per_capita,ksi_total,ksi_per_100milvmt,ksi_per_capita,ksi_total_5yravg
"1","2006","42017","Bucks","All","N/A","72","1.5","11.7","175","3.5","28.3","247","5","40","null"
"2","2006","42017","Bucks","Motorized","N/A","58","1.2","9.4","164","3.3","26.5","222","4.5","35.9","null"
"3","2006","42017","Bucks","Non-Motorized","N/A","14","0.3","2.3","11","0.2","1.8","25","0.5","4.1","null"
"4","2006","34005","Burlington","All","Official","45","0.9","10","128","2.6","28.7","173","3.5","38.7","null"
"5","2006","34005","Burlington","Motorized","Official","39","0.8","8.7","112","2.3","25.1","151","3.1","33.8","null"
"6","2006","34005","Burlington","Non-Motorized","Official","6","0.1","1.3","16","0.3","3.6","22","0.4","4.9","null"
"7","2006","34007","Camden","All","Official","47","1.1","9.1","151","3.7","29.3","198","4.8","38.4","null"
"8","2006","34007","Camden","Motorized","Official","38","0.9","7.4","110","2.7","21.3","148","3.6","28.7","null"
"9","2006","34007","Camden","Non-Motorized","Official","9","0.2","1.7","41","1","8","50","1.2","9.7","null"
"10","2006","42029","Chester","All","N/A","54","1.2","11.2","159","3.6","33.2","213","4.8","44.4","null"
"11","2006","42029","Chester","Motorized","N/A","50","1.1","10.4","151","3.4","31.5","201","4.5","41.9","null"
"12","2006","42029","Chester","Non-Motorized","N/A","4","0.1","0.8","8","0.2","1.7","12","0.3","2.5","null"
"13","2006","42045","Delaware","All","N/A","29","0.8","5.3","115","3.1","20.8","144","3.9","26.1","null"
"14","2006","42045","Delaware","Motorized","N/A","22","0.6","4","97","2.6","17.5","119","3.2","21.5","null"
"15","2006","42045","Delaware","Non-Motorized","N/A","7","0.2","1.3","18","0.5","3.3","25","0.7","4.6","null"
"16","2006","34015","Gloucester","All","Official","35","1.3","12.4","106","3.9","37.6","141","5.2","50","null"
"17","2006","34015","Gloucester","Motorized","Official","27","1","9.6","93","3.4","33","120","4.4","42.6","null"
"18","2006","34015","Gloucester","Non-Motorized","Official","8","0.3","2.8","13","0.5","4.6","21","0.8","7.4","null"
"19","2006","34021","Mercer","All","Official","37","1","10.2","105","3","28.9","142","4","39.1","null"
"20","2006","34021","Mercer","Motorized","Official","29","0.8","8","81","2.3","22.3","110","3.1","30.3","null"
"21","2006","34021","Mercer","Non-Motorized","Official","8","0.2","2.2","24","0.7","6.6","32","0.9","8.8","null"
"22","2006","42091","Montgomery","All","N/A","54","0.8","7","202","2.9","26.1","256","3.7","33.1","null"
"23","2006","42091","Montgomery","Motorized","N/A","48","0.7","6.2","170","2.4","22","218","3.1","28.2","null"
"24","2006","42091","Montgomery","Non-Motorized","N/A","6","0.1","0.8","32","0.5","4.1","38","0.6","4.9","null"
"25","2006","42101","Philadelphia","All","N/A","104","1.8","6.8","377","6.3","24.8","481","8.1","31.6","null"
"26","2006","42101","Philadelphia","Motorized","N/A","63","1.1","4.1","275","4.6","18.1","338","5.7","22.2","null"
"27","2006","42101","Philadelphia","Non-Motorized","N/A","41","0.7","2.7","102","1.7","6.7","143","2.4","9.4","null"
"28","2007","42017","Bucks","All","N/A","60","1.2","9.6","180","3.5","28.9","240","4.7","38.5","null"
"29","2007","42017","Bucks","Motorized","N/A","50","1","8","163","3.2","26.2","213","4.2","34.2","null"
"30","2007","42017","Bucks","Non-Motorized","N/A","10","0.2","1.6","17","0.3","2.7","27","0.5","4.3","null"
"31","2007","34005","Burlington","All","Official","52","1.1","11.7","112","2.4","25.2","164","3.5","36.9","null"
"32","2007","34005","Burlington","Motorized","Official","41","0.9","9.2","95","2","21.4","136","2.9","30.6","null"
"33","2007","34005","Burlington","Non-Motorized","Official","11","0.2","2.5","17","0.4","3.8","28","0.6","6.3","null"
"34","2007","34007","Camden","All","Official","46","1.1","8.9","145","3.6","28.1","191","4.7","37","null"
"35","2007","34007","Camden","Motorized","Official","32","0.8","6.2","109","2.7","21.1","141","3.5","27.3","null"
"36","2007","34007","Camden","Non-Motorized","Official","14","0.3","2.7","36","0.9","7","50","1.2","9.7","null"
"37","2007","42029","Chester","All","N/A","55","1.3","11.2","140","3.1","28.7","195","4.4","39.9","null"
"38","2007","42029","Chester","Motorized","N/A","48","1.1","9.8","134","3","27.5","182","4.1","37.3","null"
"39","2007","42029","Chester","Non-Motorized","N/A","7","0.2","1.4","6","0.1","1.2","13","0.3","2.6","null"
"40","2007","42045","Delaware","All","N/A","22","0.6","4","101","2.6","18.2","123","3.2","22.2","null"
"41","2007","42045","Delaware","Motorized","N/A","20","0.5","3.6","88","2.3","15.9","108","2.8","19.5","null"
"42","2007","42045","Delaware","Non-Motorized","N/A","2","0.1","0.4","13","0.3","2.3","15","0.4","2.7","null"
"43","2007","34015","Gloucester","All","Official","45","1.7","15.7","119","4.3","41.6","164","6","57.3","null"
"44","2007","34015","Gloucester","Motorized","Official","40","1.5","14","107","3.9","37.4","147","5.4","51.4","null"
"45","2007","34015","Gloucester","Non-Motorized","Official","5","0.2","1.7","12","0.4","4.2","17","0.6","5.9","null"
"46","2007","34021","Mercer","All","Official","27","0.7","7.4","70","1.9","19.3","97","2.6","26.7","null"
"47","2007","34021","Mercer","Motorized","Official","23","0.6","6.3","58","1.6","16","81","2.2","22.3","null"
"48","2007","34021","Mercer","Non-Motorized","Official","4","0.1","1.1","12","0.3","3.3","16","0.4","4.4","null"
"49","2007","42091","Montgomery","All","N/A","57","0.8","7.3","197","2.8","25.4","254","3.6","32.7","null"
"50","2007","42091","Montgomery","Motorized","N/A","46","0.6","5.9","174","2.5","22.4","220","3.1","28.3","null"
"51","2007","42091","Montgomery","Non-Motorized","N/A","11","0.2","1.4","23","0.3","3","34","0.5","4.4","null"
"52","2007","42101","Philadelphia","All","N/A","125","2.1","8.2","330","5.5","21.6","455","7.6","29.8","null"
"53","2007","42101","Philadelphia","Motorized","N/A","85","1.4","5.6","221","3.7","14.5","306","5.1","20.1","null"
"54","2007","42101","Philadelphia","Non-Motorized","N/A","40","0.7","2.6","109","1.8","7.1","149","2.5","9.7","null"
"55","2008","42017","Bucks","All","N/A","54","1.1","8.7","161","3.2","25.8","215","4.3","34.5","null"
"56","2008","42017","Bucks","Motorized","N/A","44","0.9","7.1","149","3","23.9","193","3.9","31","null"
